16,555,944,555,944,583,16,583,0.99974316
400,155,480,155,480,188,400,188,0.99974304
48,518,384,518,384,561,48,561,0.99973637
656,473,800,473,800,495,656,495,0.9997341
448,273,608,273,608,293,448,293,0.9997327
448,437,720,437,720,465,448,465,0.9997217
608,283,672,283,672,314,608,314,0.99972016
320,512,544,512,544,556,320,556,0.9997068
352,205,464,205,464,227,352,227,0.99969685
832,87,864,87,864,116,832,116,0.99969673
0,332,96,332,96,381,0,381,0.9996958
592,240,736,240,736,286,592,286,0.99969363
448,472,592,472,592,499,448,499,0.99969137
448,368,720,368,720,405,448,405,0.9996896
0,471,32,471,32,503,0,503,0.99968886
0,280,96,280,96,334,0,334,0.99968743
0,507,176,507,176,528,0,528,0.9996742
288,298,576,298,576,340,288,340,0.9996712
240,82,704,82,704,109,240,109,0.9996666
0,236,64,236,64,280,0,280,0.99966145
704,531,928,531,928,557,704,557,0.99966145
368,128,608,128,608,160,368,160,0.9996611
592,192,944,192,944,245,592,245,0.99966013
448,407,672,407,672,431,448,431,0.9996524
544,532,640,532,640,561,544,561,0.9996426
800,1,928,1,928,40,800,40,0.99963903
464,341,720,341,720,361,464,361,0.9996364
48,31,896,31,896,73,48,73,0.999634
384,491,864,491,864,529,384,529,0.9996284
768,73,832,73,832,107,768,107,0.9996271
368,233,592,233,592,261,368,261,0.9996189
352,108,528,108,528,131,352,131,0.9996177
656,120,928,120,928,146,656,146,0.9996146
560,145,896,145,896,184,560,184,0.99960524
