288,462,448,462,448,487,288,487,0.9996507
288,152,336,152,336,178,288,178,0.9996253
288,218,848,218,848,245,288,245,0.999622
288,336,688,336,688,359,288,359,0.9995871
288,201,400,201,400,224,288,224,0.9995728
288,410,336,410,336,431,288,431,0.9995678
288,360,352,360,352,384,288,384,0.99955934
288,393,336,393,336,411,288,411,0.9995591
224,105,816,105,816,129,224,129,0.99955696
224,81,688,81,688,109,224,109,0.99955565
512,385,752,385,752,407,512,407,0.99954563
48,154,240,154,240,173,48,173,0.99954164
224,123,752,123,752,148,224,148,0.9995396
128,39,800,39,800,67,128,67,0.9995396
400,357,784,357,784,381,400,381,0.99953926
400,387,496,387,496,414,400,414,0.9995301
48,173,240,173,240,199,48,199,0.9995301
48,547,880,547,880,581,48,581,0.9995241
400,406,864,406,864,433,400,433,0.99951684
608,440,768,440,768,461,608,461,0.9995154
48,499,880,499,880,534,48,534,0.9995142
608,457,784,457,784,483,608,483,0.9995117
432,149,576,149,576,173,432,173,0.9995086
272,271,560,271,560,302,272,302,0.9995078
624,167,752,167,752,195,624,195,0.9995074
624,149,816,149,816,166,624,166,0.999506
432,168,512,168,512,198,432,198,0.99950564
272,302,560,302,560,327,272,327,0.9995034
272,256,464,256,464,277,272,277,0.9995023
272,442,416,442,416,462,272,462,0.99950194
